(GVP) Volcano number,Volcano Name,Country,Volcano Latitude,Volcano Longitude,Volcano Elevation,Volcano Type,Population VPI5,Population VPI 10,Population VPI30,Population VPI100,Island of radius <=~5 km?,Eruption Number,Eruption VEI,Eruption start year,Date of fatal incident,Year (Eruption start year if date not specified),Century,Incident number (XXXXX-X.X = eruption number-incident number.su,Incident number extension (-X.X = Incident number.Sub-incident ,Incident / sub-incident:   Fatalities separated into multiple i,Fatality information (existing fatality information from databa,Additional fatality information and notes on distance determina,Qualitative Number of fatalities,Number of fatalities,Fatal cause  ,"Victim classification:  (Emerg) = armed forces, emergency servi",Were fatalities clustered? (eg. All in one collapsed building?),Did fatality or fatal injury occur inside or outside?,Google Earth flag number (representing approximate location of ,Quality level,QL 1 distance (km),QL2 (max. km),QL2 range (km),Distance from eruptive vent if known to be different to summit,"References (new, [legacy])"
282100,Unzendake,Japan,32.761,130.299,1483,Complex,6979,76424,444737,7313362,N,17177,2,1792,,1792,1700s,17177-1.3,1.3,"One incident, different distances","Figures from Katayama indicate 9,528 fatalities along the Shimabara peninsula and an additional 4,996 fatalities in Higo and Amakusa provinces across Ariake Sea. The vast majority were killed by the tsunami, the avalanche reaching only the southern outskirts of Shimabara city.","Sassa et al. (2016) describe total deaths as 15153 (10139 through the landslide and tsunami on Shimabara; 343 on Amakasa; 4653 kumamoto prefecture; 18 elsewhere). They roughly map the deaths, and give 5251 deaths around the castle and Shimabara town (greatest number recorded); and second largest deaths in southern part of Shimabara peninsula (3,500 people). They show a few hundred along the coastline of Amakusa (~27-34km), about 1000 roughly east across the Ariake sea (24-30km); plus another ~100 south of this (20-24); about 600 around Umedo (Higo Kumamoto) and another ~1000 north around Kydomari. ",,4653,Tsunami,,,,,QL 2,,30.0,20 to 30,,Sassa et al 2016
282100,Unzendake,Japan,32.761,130.299,1483,Complex,6979,76424,444737,7313362,N,17177,2,1792,,1792,1700s,17177-1.4,1.4,"One incident, different distances","Figures from Katayama indicate 9,528 fatalities along the Shimabara peninsula and an additional 4,996 fatalities in Higo and Amakusa provinces across Ariake Sea. The vast majority were killed by the tsunami, the avalanche reaching only the southern outskirts of Shimabara city.","Sassa et al. (2016) describe total deaths as 15153 (10139 through the landslide and tsunami on Shimabara; 343 on Amakasa; 4653 kumamoto prefecture; 18 elsewhere). They roughly map the deaths, and give 5251 deaths around the castle and Shimabara town (greatest number recorded); and second largest deaths in southern part of Shimabara peninsula (3,500 people). They show a few hundred along the coastline of Amakusa (~27-34km), about 1000 roughly east across the Ariake sea (24-30km); plus another ~100 south of this (20-24); about 600 around Umedo (Higo Kumamoto) and another ~1000 north around Kydomari. ",,18,Tsunami,,,,,QL 3,,,,,
282100,Unzendake,Japan,32.761,130.299,1483,Complex,6979,76424,444737,7313362,N,17178,,1798,,1798,1700s,17178-1.0,1.0,One incident,Heavy rains produced debris flows on the NW flank of Mayu-yama; 13 dead or missing.,-,,13,Secondary lahars,,,,,QL 3,,,,,",[Japan Min Constr (1992)]"
282100,Unzendake,Japan,32.761,130.299,1483,Complex,6979,76424,444737,7313362,N,17181,1,1990,1991,1991,1900s,17181-1.0,1.0,Multiple incidents separated due to different date,"A pyroclastic flow and surge killed 43, including 3 volcanologists.","The group were located at Kita-Kamikoba which is at about 200m, about 4km from the summit. (Nakada, 1999). The victims were 12 disaster prevention staffs, 16 journalists, 4 taxi drivers 
transporting journalists, 3 foreign volcanologists and 7 local inhabitants. 2 policemen (Unzen Restoration Project,2007)",,43,PDCs,"(sci) (media) (emerg) 3 volcanologists, 20 journalists (inclusive of their 4 drivers), 14 emergency response (inclusive of the 2 police).",Group,Outside,109,QL 1,4.0,,,,"Nakada et al (1999); Unzen Restoration Project, 2007.,[GVN 16:5]"
282100,Unzendake,Japan,32.761,130.299,1483,Complex,6979,76424,444737,7313362,N,17181,1,1990,1993,1993,1900s,17181-2.0,2.0,Multiple incidents separated due to different date,A homeowner who had entered the evacuation zone to watch his house being burned by a pyroclastic flow was killed by a second pyroclastic flow.,Based on the description in Nakada et al (1999) of the homeowner being killed in Senbongi. Approximate minimum distance 3.5km to max 4.5km. ,,1,PDCs,Resident entering evacuation zone,,Outside,187,QL 1,3.9,,,,"Nakada et al (1999),[GVN 18:6]"
282110,Asosan,Japan,32.884,131.104,1592,Caldera,75559,75559,234591,6507519,N,17272,2,1816,,1816,1800s,17272-1.0,1.0,One incident,,"NCAVJ describes a volcanic block killing one person, but no further details.",,1,Ballistics,,,,,QL 3,,,,,"National Catalogue of the Active Volcanoes in Japan (4th edition) and JMA fatalities db,[Murayama 1990 (201)]"
282110,Asosan,Japan,32.884,131.104,1592,Caldera,75559,75559,234591,6507519,N,17275,2,1827,,1827,1800s,17275-1.0,1.0,One incident,"Sapper states that many people who had come to pray 2,200 m S of the crater lake died from ash suffocation. Fatalities are not mentioned in Japanese compilations.","Description gives distance from crater, but uncertain precise location.",Many,100,Tephra,(tour) Religious pilgrims,Group,Outside?,110,QL 1,2.2,,,,[MILNE 1886 (23)]
282110,Asosan,Japan,32.884,131.104,1592,Caldera,75559,75559,234591,6507519,N,17286,3,1872,,1872,1800s,17286-1.0,1.0,One incident,Four sulfur miners in crater killed by explosion.,Based on description of in crater.,,4,Eruption (unknown element),(mine)  Sulphur workers,Group,Outside,111,QL 2,,1.0,<1,,[SAPPER 1917 (132)]
282110,Asosan,Japan,32.884,131.104,1592,Caldera,75559,75559,234591,6507519,N,17325,2,1953,,1953,1900s,17325-1.0,1.0,One incident,Six tourists killed near crater rim.  Witham lists range of 5-11 fatalities.,Based on description of crater rim and NCAVJ description of ballistics to 600 m SW of crater rim.,,6,Ballistics,(tour) Tourists,Group,Outside,112,QL 2,,0.6,<0.6,,[JMA 1975 (90)]
282110,Asosan,Japan,32.884,131.104,1592,Caldera,75559,75559,234591,6507519,N,13842,2,1957,1958,1958,1900s,13842-1.0,1.0,One incident,"12 ropeway workers killed, 20 (JMA says 28) injured by nighttime explosion. Witham lists 5-11 fatalities","NCAVJ describes ballistics to 1.2km west of crater and large amount of ash and sand all over mountain slopes, killing 12. Minakami (1962) describes deaths within 1km of crater.",,12,Ballistics,Ropeway workers,Group,,113,QL 1,1.0,,,,Minakami (1962)
282110,Asosan,Japan,32.884,131.104,1592,Caldera,75559,75559,234591,6507519,N,17339,2,1979,,1979,1900s,17339-1.0,1.0,One incident,"Block ejection killed three tourists and injured 11, near ropeway station ~850 m NNE of crater. ",Based on description,,3,Ballistics,(tour) Tourists,Group,Outside,114,QL 1,0.85,,,,"[BVE 19, 1981 (47)]"
282110,Asosan,Japan,32.884,131.104,1592,Caldera,75559,75559,234591,6507519,N,17345,2,1989,1989,1989,1900s,17345-1.0,1.0,One incident,A tourist died from gas inhalation.,"Makoye-Ng'Walali (1999) gives six gas-fatalities at Aso in 1989, 1990, 1990, 1994, 1997, 1997. All had compromised immune systems.All were tourists in non-eruptive time. All were within 250m of the crater.",,1,Non-eruptive: Gas,(tour) Tourists,,,,QL 2,,0.25,<0.25,,[Witham (2005)]
282110,Asosan,Japan,32.884,131.104,1592,Caldera,75559,75559,234591,6507519,N,17345,2,1989,1990,1990,1900s,17345-2.0,2.0,One incident,A tourist died from gas inhalation.,"Makoye-Ng'Walali (1999) gives six gas-fatalities at Aso in 1989, 1990, 1990, 1994, 1997, 1997. All had compromised immune systems.All were tourists in non-eruptive time. All were within 250m of the crater.",,1,Non-eruptive: Gas,(tour) Tourists,,,,QL 2,,0.25,<0.25,,[Witham (2005)]
282110,Asosan,Japan,32.884,131.104,1592,Caldera,75559,75559,234591,6507519,N,17345,2,1989,1990,1990,1900s,17345-3.0,3.0,One incident,A tourist died from gas inhalation.,"Makoye-Ng'Walali (1999) gives six gas-fatalities at Aso in 1989, 1990, 1990, 1994, 1997, 1997. All had compromised immune systems.All were tourists in non-eruptive time. All were within 250m of the crater.",,1,Non-eruptive: Gas,(tour) Tourists,,,,QL 2,,0.25,<0.25,,[Witham (2005)]
282110,Asosan,Japan,32.884,131.104,1592,Caldera,75559,75559,234591,6507519,N,17345,2,1989,1994,1994,1900s,17345-4.0,4.0,One incident,A tourist died from gas inhalation.,"Makoye-Ng'Walali (1999) gives six gas-fatalities at Aso in 1989, 1990, 1990, 1994, 1997, 1997. All had compromised immune systems.All were tourists in non-eruptive time. All were within 250m of the crater.",,1,Non-eruptive: Gas,(tour) Tourists,,,,QL 2,,0.25,<0.25,,[Witham (2005)]
282110,Asosan,Japan,32.884,131.104,1592,Caldera,75559,75559,234591,6507519,N,17347,2,1994,23-11-1997,1997,1900s,17347-1.0,1.0,One incident,"Two men were killed by gas inhalation about 100 m south of the rim of crater #1 on November 23, 1997.   No eruptive activity occurred.","Makoye-Ng'Walali (1999) gives six gas-fatalities at Aso in 1989, 1990, 1990, 1994, 1997, 1997. All had compromised immune systems.All were tourists in non-eruptive time. All were within 250m of the crater.",,2,Non-eruptive: Gas,(tour) Tourists,,Outside,116,QL 1,0.1,,,,[GVN Bull. 22:11 (1997)]
283020,Hakoneyama,Japan,35.233,139.021,1438,Complex,14140,53755,1543563,30282197,N,,,,10-5-1933,1933,1900s,283020-1.0,1.0,One incident,,One person was killed after explosion at Owakudani fumarole.,,1,Hydrothermal,,,,246,QL 1,1.5,,,,JMA fatality database
283020,Hakoneyama,Japan,35.233,139.021,1438,Complex,14140,53755,1543563,30282197,N,,,,5-11-1951,1951,1900s,283020-2.0,2.0,One incident,,Two killed whilst open-air bathing by hydrogen suphide gas.,,2,Non-eruptive: gas,,,Outside,,QL 3,,,,,Hayakawa (1999)
283020,Hakoneyama,Japan,35.233,139.021,1438,Complex,14140,53755,1543563,30282197,N,,,,27-3-1952,1952,1900s,283020-3.0,3.0,One incident,,One person killed by hydrogen sulphide while bathing in indoor pool. ,,1,Non-eruptive: gas,,,Inside,,QL 3,,,,,Hayakawa (1999)
283020,Hakoneyama,Japan,35.233,139.021,1438,Complex,14140,53755,1543563,30282197,N,,,,2-10-1972,1972,1900s,283020-4.0,4.0,One incident,,Two people killed by hydrogen sulphide gas,,2,Non-eruptive: gas,,,,,QL 3,,,,,Hayakawa (1999)
283030,Fuji,Japan,35.358,138.731,3776,Stratovolcano,570,1759,906969,25022187,N,17452,5,1707,,1707,1700s,17452-1.0,1.0,One incident,"There were no reported direct fatalities from the eruption, but many later died from starvation due to crop damage and the inability to move elsewhere.",Indirect fatalities following the eruption.,Many,100,Indirect (Eruptive) - Famine,,,,,QL 3,,,,,[Miyagi 2002]
283040,Ontakesan,Japan,35.893,137.48,3067,Complex,176,2098,86634,8307889,N,17457,1,1979,1984,1984,1900s,17457-1.0,1.0,One incident,"An earthquake caused the S flank of the volcano to collapse, creating a debris avalanche which killed 10 people in a hot spa.  Some deaths may be from other landslides caused by quake.  First historical eruption ended in April 1980, after 6 months.",Based on description and Voight and Sousa (1994) where length of avalanche is given as 12km and number of deaths as 15.,,10,Avalanche,,,,115,QL 2,,12.0,<12,,Voight and Sousa (1994)
283040,Ontakesan,Japan,35.893,137.48,3067,Complex,176,2098,86634,8307889,N,20964,3,2014,2014,2014,2000s,20964-1.0,1.0,One incident,,Tourists at the summit of Ontake were caught by a sudden eruption. Ash fall and ballistics appear to be the cause of death. News articles state that doctors have determined that almost all victims died from injuries sustained by being hit by rocks that flew out during the eruption. http://www.cbc.ca/news/world/mount-ontake-volcano-most-of-the-dead-likely-struck-by-rocks-1.2786262. According to Japan Times bodies were within area of about 400-600m of the craters.  http://www.japantimes.co.jp/news/2014/10/01/national/ontake-search-resumes-amid-volcanic-tremors/#.VldBLL9L3Ax,,57,Ballistics,(tour) Tourists,,Outside (all?),193,QL 1,0.5,,,,
290250,Raikoke,Russia,48.292,153.25,551,Stratovolcano,0,0,134,142,Y,18822,4,1778,,1778,1700s,18822-1.0,1.0,One incident,"15 persons under the command of Cpt. Cherny were killed by volcanic bombs, prompting the first volcanological investigation in the Kurile Islands.",Island less than 3km across.,,15,Ballistics,,,,,QL 2,,2.0,<2,,
283070,Yake-dake,Japan,36.224,137.59,2455,Stratovolcano(es),995,2995,156542,4595286,N,17524,1,1995,,1995,1900s,17524-1.0,1.0,One incident,Four persons killed at highway construction site by hydrothermal explosions.,"JMA Fatality db describes fatalities at Azumi. Bulletin 02/1995 (BGVN 20:02) reports 4 killed in geothermal area 2 km SE of summit. One explosion created 1500m high plume, 2nd explosion scattered debris to 200 m of vent. ",,4,Hydrothermal,Construction workers,,Outside,117,QL 1,2.0,,,,"JMA Fatality db,[GVN Bull 20:2 (1995)]"
283080,Tate-yama (Midagahara),Japan,36.568,137.593,2621,Stratovolcano,401,521,143935,4455560,N,17531,,1858,,1858,1800s,17531-1.0,1.0,One incident,Mudflows following earthquake-generated landslide killed many; eruption uncertain,-,Many,100,Secondary lahars,,,,,QL 3,,,,,[Nakano et al. (2001-)]
283080,Tate-yama (Midagahara),Japan,36.568,137.593,2621,Stratovolcano,401,521,143935,4455560,N,17531,,1858,21-7-1954,1954,1900s ,17531-2.0,2.0,One incident,,One person killed by hydrogen sulphide while bathing outdoors.,,1,Non-eruptive: gas,,,Outside,,QL 3,,,,,Hayakawa (1999)
283080,Tate-yama (Midagahara,Japan,36.568,137.593,2621,Stratovolcano,401,521,143935,4455560,N,17531,,1858,1967,1967,1900s ,17531-3.0,3.0,One incident,,JMA Fatality db describes deaths of 2 campers due to volcanic gas,,2,Non-eruptive: Gas,,Group,,,QL 3,,,,,"JMA fatality db,[Witham (2005)]"
283080,Tate-yama (Midagahara,Japan,36.568,137.593,2621,Stratovolcano,401,521,143935,4455560,N,17531,,1858,30-4-1970,1970,1900s ,17531-4.0,4.0,One incident,,One person killed by hydrogen sulphide in a cabin.,,1,Non-eruptive: gas,,,Inside,,QL 3,,,,,Hayakawa (1999)
283080,Tate-yama (Midagahara,Japan,36.568,137.593,2621,Stratovolcano,401,521,143935,4455560,N,17531,,1858,25-11-1972,1972,1900s ,17531-5.0,5.0,One incident,,One spa worker killed by hydrogen sulphide.,,1,Non-eruptive: Gas,,,,,QL 3,,,,,Hayakawa (1999)
283080,Tate-yama (Midagahara,Japan,36.568,137.593,2621,Stratovolcano,401,521,143935,4455560,N,17531,,1858,12-8-1975,1975,1900s ,17531-6.0,6.0,One incident,,One person killed by hydrogen sulphide gas.,,1,Non-eruptive: gas,,,,,QL 3,,,,,Hayakawa (1999)
283080,Tate-yama (Midagahara,Japan,36.568,137.593,2621,Stratovolcano,401,521,143935,4455560,N,17531,,1858,22-7-1985,1985,1900s ,17531-7.0,7.0,One incident,,One person killed by hydrogen sulphide gas.,,1,Non-eruptive: gas,,,,,QL 3,,,,,Hayakawa (1999)
283090,Niigata-Yake-yama,Japan,36.918,138.039,2400,Lava dome,73,610,226866,3920252,N,17546,2,1974,,1974,1900s,17546-1.0,1.0,One incident,Mountain climbing students of Chiba University killed by ejecta while camped near fissure crater.,"Described by JMA and NCAVJ as 3 camping near the summit, near crater fissure.",,3,Ballistics,(tour) Tourists (climbers),Group,Outside (camping),118,QL 2,,1.0,<1,,[BVE-14 (43)]
283110,Asama,Japan,36.403,138.526,2568,Complex,583,22371,457576,7629353,N,17694,3,1596,,1596,1500s,17694-1.0,1.0,One incident,Many killed by tephra on May 1.  One source also lists many fatalities for 8/19 eruption of same year.,"Described by NCAVJ as 'volcanic blocks fell on May 5, causing many deaths'",Many,100,Ballistics,,,,,QL 3,,,,,[BV-38SUPP.(18)]
283110,Asama,Japan,36.403,138.526,2568,Complex,583,22371,457576,7629353,N,17696,2,1598,,1598,1500s,17696-1.0,1.0,One incident,Religious pilgrims who had climbed the volcano were killed at the summit (where they were staying because it was not a religiously auspicious day to descend).  Hayakawa and Nakajima (1998) question  this report.,"Described as at summit, though NCAVJ does not list fatal incident",Unknown,15,Eruption (unknown element),(tour) Religious pilgrims,Group,Outside,119,QL 2,,1.0,<1,,[Murayama 1989 (31)]
283110,Asama,Japan,36.403,138.526,2568,Complex,583,22371,457576,7629353,N,17731,1,1721,,1721,1700s,17731-1.0,1.0,One incident,"Fifteen climbers killed, some sources say 5.",Described as climbers suggesting on cone. NCAVJ describes deaths by volcanic blocks,,15,Ballistics,(tour) Tourists (climbers),,Outside,,QL 2,,3.0,<3,,"NCAVJ,[MURAYAMA 1989 (38)]"
283110,Asama,Japan,36.403,138.526,2568,Complex,583,22371,457576,7629353,N,17748,4,1783,,1783,1700s,17748-1.0,1.0,Multiple incidents separated due to different fatal cause,"466 killed by Kamabara pyroclastic flow. 93 people who were able to climb up steps of small temple survived. Hot mudflows from the Kamabara nuee flowed into the Agatsuma R, causing a temporary dam. Flood downstream over a distance of 100 km washed away 1,300 houses and up to 1,400 people. Suspended ash and dust decreased sunlight, and resulting cold and rainy weather caused a famine in the Kanto region. Approximately 300,000 people died in northern Japan from the Tenmei famine, which lasted from 1783-1787. Some estimates suggest up to 1 million deaths, then about 3% of Japan's population, but the eruption is considered only a contributing factor.","Pyroclastic flow described as ""to the northern foot of the volcano"" by NCAVJ and called Kanbara pyroclastic flow. Yasui and Koyaguchi (2004) describe pyroclastic flow to 8km from the vent",,466,PDCs,,,,,QL 2,,8.0,<8,,Yasui and Koyaguchi (2004)
283110,Asama,Japan,36.403,138.526,2568,Complex,583,22371,457576,7629353,N,17748,4,1783,,1783,1700s,17748-2.0,2.0,Multiple incidents separated due to different fatal cause,"466 killed by Kamabara pyroclastic flow. 93 people who were able to climb up steps of small temple survived. Hot mudflows from the Kamabara nuee flowed into the Agatsuma R, causing a temporary dam. Flood downstream over a distance of 100 km washed away 1,300 houses and up to 1,400 people. Suspended ash and dust decreased sunlight, and resulting cold and rainy weather caused a famine in the Kanto region. Approximately 300,000 people died in northern Japan from the Tenmei famine, which lasted from 1783-1787. Some estimates suggest up to 1 million deaths, then about 3% of Japan's population, but the eruption is considered only a contributing factor.",Based on description giving distance,,1400,Lahars,,,,,QL 2,,100.0,<100,,
283110,Asama,Japan,36.403,138.526,2568,Complex,583,22371,457576,7629353,N,17750,2,1803,,1803,1800s,17750-1.0,1.0,One incident,04 Jul-07 Nov 1803. CAVW lists fatalities but does not specify which 1803 eruption. JMA-75 and Murayama mention no fatalities for either.,-,Unknown,15,Eruption (unknown element),,,,,QL 3,,,,,[CAVW-11 (115);VRF]
283110,Asama,Japan,36.403,138.526,2568,Complex,583,22371,457576,7629353,N,17773,1,1909,1911-05-01 00:00:00,1911,1900s,17773-1.0,1.0,One incident,One climber killed and about 60 houses destroyed.,NCAVJ describes volcanic blocks killing 1. Distance based on description of climber being killed.,,1,Ballistics,(tour) Tourists (climbers),,Outside,,QL 2,,3.0,<3,,"NCAVJ,[Hayakawa (1998); BV-38SUPPL.(18)]"
283110,Asama,Japan,36.403,138.526,2568,Complex,583,22371,457576,7629353,N,17773,1,1909,1911-08-01 00:00:00,1911,1900s,17773-2.0,2.0,One incident,Two or more climbers killed and 36 injured.,JMA Fatalities db describes volcanic block and 2 people killed. Distance based on description of climbers.,,2,Ballistics,(tour) Tourists (climbers),,Outside,,QL 2,,3.0,<3,,"JMA Fatality db,[Hayakawa (1998); BV-SUPPL.(18)]"
283110,Asama,Japan,36.403,138.526,2568,Complex,583,22371,457576,7629353,N,17773,1,1909,1913,1913,1900s,17773-3.0,3.0,One incident,One climber killed and another injured.,JMA Fatalities db describes volcanic block and 2 people killed. Distance based on description of climbers.,,1,Ballistics,(tour) Tourists (climbers),,Outside,,QL 2,,3.0,<3,,"JMA Fatality db,[Hayakawa (1998)]"
283110,Asama,Japan,36.403,138.526,2568,Complex,583,22371,457576,7629353,N,17785,2,1930,August 20 1930,1930,1900s,17785-1.0,1.0,One incident,Six killed by projectiles near crater rim.,"JMA - August 20 1930 6 people killed near the crater, NCAVJ - tephra fall and volcanic block scattering killing 6 people near the crater on August 20.",,6,Ballistics,(tour) Tourists?,,Outside,120,QL 2,,1.0,<1,,[Tanakadate 1931 (54)]
283110,Asama,Japan,36.403,138.526,2568,Complex,583,22371,457576,7629353,N,17790,3,1934,1936-07-01 00:00:00,1936,1900s,17790-1.0,1.0,Multiple incidents separated due to different fatal cause,Single climbers killed on 7/29 & 10/29: the first possibly by small pyroclastic flow.,JMA fatality db describes mountain climber killed on July 29 1936 in eruption. Therefore size of cone used to constrain distance.,,1,PDCs,(tour) Tourists (climbers),,Outside,,QL 2,,3.0,<3,,"JMA Fatality db,[Murayama 1989 (141)]"
283110,Asama,Japan,36.403,138.526,2568,Complex,583,22371,457576,7629353,N,17790,3,1934,1936-10-01 00:00:00,1936,1900s,17790-2.0,2.0,Multiple incidents separated due to different fatal cause,Single climbers killed on 7/29 & 10/29: the first possibly by small pyroclastic flow.,JMA fatality db describes mountain climber killed on October 17 1936 by volcanic block. Therefore size of cone used to constrain distance.,,1,Ballistics,(tour) Tourists (climbers),,Outside,,QL 2,,3.0,<3,,"JMA Fatality db,[Murayama 1989 (141)]"
283110,Asama,Japan,36.403,138.526,2568,Complex,583,22371,457576,7629353,N,17791,1,1938,,1938,1900s,17791-1.0,1.0,One incident,"There were a few fatalities on July 16, 1938.","JMA fatality db and NCAVJ describe several mountain climbers killed, but uncertain cause of death.",Few,3,Eruption (unknown element),(tour) Tourists (climbers),,Outside,,QL 2,,3.0,<3,,"National Catalogue of the Active Volcanoes in Japan (4th edition) and JMA fatalities db,[Witham (2005); HAYAKAWA 1994]"
283110,Asama,Japan,36.403,138.526,2568,Complex,583,22371,457576,7629353,N,17791,1,1938,,1938,1900s,17791-2.0,2.0,One incident,Death (and one injury) assumed to be from ballistics because of number of explosions. Near end of >4-year eruption.,"JMA fatality db and NCAVJ describe 1 dead on July 13 1941 from volcanic blocks, but location not given. Ballistics would suggest <10km.",,1,Ballistics,,,,,QL 3,,,,,"National Catalogue of the Active Volcanoes in Japan (4th edition) and JMA fatalities db,[MURAYAMA 1989 (142)]"
283110,Asama,Japan,36.403,138.526,2568,Complex,583,22371,457576,7629353,N,17794,1,1947,,1947,1900s,17794-1.0,1.0,One incident,Eleven persons climbing volcano were killed.,JMA fatality db and NCAVJ describe 9 mountain climbers killed near the summit by volcanic blocks.,,11,Ballistics,(tour) Tourists (climbers),,Outside,121,QL 2,,1.0,<1,,"National Catalogue of the Active Volcanoes in Japan (4th edition) and JMA fatalities db,[]"
283110,Asama,Japan,36.403,138.526,2568,Complex,583,22371,457576,7629353,N,17796,1,1950,,1950,1900s,17796-1.0,1.0,One incident,"One climber killed, one injured from lithic ejecta. Air shock damaged houses.",JMA fatality db describes death of one mountain climber by volcanic block. ,,1,Ballistics,(tour) Tourists (climbers),,Outside,,QL 2,,3.0,<3,,"JMA Fatality db,[KYOTO UNIV 1987]"
283110,Asama,Japan,36.403,138.526,2568,Complex,583,22371,457576,7629353,N,17802,2,1961,,1961,1900s,17802-1.0,1.0,One incident,A climber at the summit at the time of an eruption was killed.,JMA fatality db and NCAVJ describes 1 missing. Description of summit.,,1,Eruption (unknown element),(tour) Tourists (climbers),,Outside,122,QL 2,,1.0,<1,,"National Catalogue of the Active Volcanoes in Japan (4th edition) and JMA fatalities db,[BV-38SUPP.(18)]"
283120,Kusatsu-Shirane,Japan,36.62,138.535,2171,Stratovolcano(es),4485,14296,434049,5947593,N,17825,2,1897,3 August 1897,1897,1800s,17825-1.0,1.0,One incident,,JMA fatality db describes explosion on August 3 1897 killing one.,,1,Eruption (unknown element),,,,,QL 3,,,,,JMA Fatality db
283120,Kusatsu-Shirane,Japan,36.62,138.535,2171,Stratovolcano(es),4485,14296,434049,5947593,N,17832,3,1932,,1932,1900s,17832-1.0,1.0,One incident,"Two killed, seven injured in lahar generated by eruption while 20 were mining native sulfur from the crater lake bottom.",JMA fatality db and NCAVJ describes fatalities near crater.,,2,Lahars,(mine)  Sulphur workers,Group,Outside,123,QL 2,,1.0,<1,,"National Catalogue of the Active Volcanoes in Japan (4th edition) and JMA fatalities db,[Hayakawa 2009 P.C.; KYOTO UNIV. 1987]"
283120,Kusatsu-Shirane,Japan,36.62,138.535,2171,Stratovolcano(es),4485,14296,434049,5947593,N,17842,1,1976,1971,1971,1900s,17842-1.0,1.0,One incident,Six skiers were killed by hydrogen sulfide inhalation.,JMA fatality db and NCAVJ describe 6 deaths in December 1971 following hydrogen sulphide release during borehole drilling at a hot spring.,,6,Non-eruptive: Gas,(tour) Tourists (skiers),Group,Outside,,QL 3,,,,,"National Catalogue of the Active Volcanoes in Japan (4th edition) and JMA fatalities db,[Witham (2005)]"
283120,Kusatsu-Shirane,Japan,36.62,138.535,2171,Stratovolcano(es),4485,14296,434049,5947593,N,17842,1,1976,,1976,1900s,17842-2.0,2.0,One incident,Three school trip hikers were killed by hydrogen sulfide inhalation.,"JMA fatality db describes deaths of 3 mountain climbers due to volcanic gas at Shiranezawa (Bentenzawa), Motoshiranesan.",,3,Non-eruptive: Gas,(tour) Tourists (hikers),Group,Outside,124,QL 1,2.3,,,,"National Catalogue of the Active Volcanoes in Japan (4th edition) and JMA fatalities db,[Witham (2005)]"
283130,Akagi,Japan,36.557,139.196,1828,Stratovolcano,961,4538,1116366,16718375,N,17849,,1938,,1938,1900s,17849-1.0,1.0,One incident,"A non-eruptive lahar resulting from a typhoon caused 699 fatalities, mostly on the Aratogawa river, originating from the summit crater of Akagi.",-,,699,Secondary lahars,,,,,QL 3,,,,,[Hayakawa 2009 P.C.]
283150,Nasudake,Japan,37.125,139.963,1915,Stratovolcano(es),639,5802,298717,5725203,N,17882,1,1881,1919,1919,1900s ,17882-1.0,1.0,One incident,,Two killed by hydrogen sulphide (Hayakawa 1999). ,,2,Non-eruptive: gas,,,,,QL 3,,,,,Hayakawa 1999.
283160,Bandai,Japan,37.598,140.076,1819,Stratovolcano,5923,17608,327454,4709782,N,17900,4,1888,,1888,1800s,17900-1.0,1.0,One incident,"Debris avalanche buried several villages. Only ~116 bodies recovered; 70 injured, mostly burned and scarred by pyroclastic surge.","Hayashi and Self (1992) describe debris avalanche to 11km, therefore fatalities within this. Description of villages at foot of volcano, villages are located at about 6km. JMA fatality database lists 461 fatalities. ",,461,Avalanche,,,,125,QL 2,,11.0,<11,,"Hayashi and Self (1992),[SEKIYA + KIKUCHI,1889]"
283160,Bandai,Japan,37.598,140.076,1819,Stratovolcano,5923,17608,327454,4709782,N,17900,4,1888,May 9 1888,1888,1800s,17900-1.0,1.0,Multiple incidents due to different date of fatality,Secondary lahars on May 9 and 15 caused two fatalities,-,,1,Secondary lahars,,,,,QL 3,,,,,[Nakano et al. (2001-)]
283160,Bandai,Japan,37.598,140.076,1819,Stratovolcano,5923,17608,327454,4709782,N,17900,4,1888,May 15 1888,1888,1800s,17900-2.0,2.0,Multiple incidents due to different date of fatality,Secondary lahars on May 9 and 15 caused two fatalities,-,,1,Secondary lahars,,,,,QL 3,,,,,[Nakano et al. (2001-)]
283170,Adatara,Japan,37.644,140.286,1718,Stratovolcano(es),428,3936,717078,5024654,N,17912,2,1900,,1900,1900s,17912-1.0,1.0,One incident,"72 sulfur miners in crater killed, 10 injured in explosive eruption.",Described as in crater,,72,Eruption (unknown element),(mine)  Sulphur workers,Group,Outside,126,QL 2,,1.0,<1,,[JMA 1975 (38)]
283170,Adatara,Japan,37.644,140.286,1718,Stratovolcano(es),428,3936,717078,5024654,N,17913,1,1996,1997,1997,1900s,17913-1.0,1.0,One incident,"Four hikers died from inhalation of volcanic gases after being exposed to fumes on the floor of Numano-taira crater on September 15, 1997, a year after the last eruption of Adatara.   The hikers were part of a group of 14 who became disoriented in foggy conditions and departed from a trail where warning signs were posted.  ",Described as in crater (Numanotaira),,4,Non-eruptive: Gas,(tour) Tourists (hikers),Group,Outside,127,QL 2,,1.0,<1,,[GVN Bull. 22:9 (1997)]
